TIMESTAMPms	M4ATTITUDEroll	M4ATTITUDErollspeed
3650	1.611037179827690e-02	-5.187309347093105e-03
3662	1.611403748393059e-02	-4.277940839529037e-03
3674	1.612409390509129e-02	-4.047075286507607e-03
3686	1.614335551857948e-02	-3.999282605946064e-03
3698	1.614460162818432e-02	-4.990378394722939e-03
3710	1.615430600941181e-02	-4.923935979604721e-03
3722	1.617228426039219e-02	-3.870664862915874e-03
3734	1.618012785911560e-02	-4.787607118487358e-03
3746	1.619101688265800e-02	-3.459417261183262e-03
3758	1.621164008975029e-02	-4.370334092527628e-03
3766	1.621701382100582e-02	-4.939132370054722e-03
3778	1.622980274260044e-02	-3.164584981277585e-03
3790	1.625265181064606e-02	-2.751063555479050e-03
3802	1.628659479320049e-02	-3.471229225397110e-03
3814	1.630647480487823e-02	-4.227461293339729e-03
3826	1.632421836256981e-02	-3.353118430823088e-03
3838	1.634067669510841e-02	-3.146679606288671e-03
3850	1.635268889367580e-02	-4.456430207937956e-03
3862	1.635565981268883e-02	-4.557624459266663e-03
3874	1.636350341141224e-02	-5.068190395832062e-03
3886	1.637718454003334e-02	-4.092674702405930e-03
3898	1.638970710337162e-02	-3.488035872578621e-03
3910	1.640347950160503e-02	-4.399683792144060e-03
3922	1.640936173498631e-02	-5.029913969337940e-03
3934	1.642679981887341e-02	-3.308627055957913e-03
3946	1.645182445645332e-02	-4.162251017987728e-03
3958	1.647179760038853e-02	-3.669784404337406e-03
3970	1.648655347526073e-02	-4.648128058761358e-03
3982	1.648602820932865e-02	-5.133879370987415e-03
3994	1.648567803204060e-02	-4.881517030298710e-03
4006	1.650801114737988e-02	-3.648403100669384e-03
4018	1.653069257736206e-02	-4.079483449459076e-03
4034	1.656778715550900e-02	-1.685561379417777e-03
4046	1.658834703266621e-02	-3.952888771891594e-03
4058	1.660519279539585e-02	-4.112361930310726e-03
4070	1.662200503051281e-02	-3.090030979365110e-03
4082	1.663487032055855e-02	-4.744916688650846e-03
4094	1.665813848376274e-02	-3.025415353477001e-03
4106	1.668596453964710e-02	-3.548066131770611e-03
4118	1.669590920209885e-02	-3.851064015179873e-03
4130	1.672072894871235e-02	-3.040323033928871e-03
4142	1.673629693686962e-02	-4.528978839516640e-03
4154	1.675279065966606e-02	-3.474172670394182e-03
4166	1.676877588033676e-02	-3.097197739407420e-03
4178	1.678015477955341e-02	-4.909785464406013e-03
4186	1.679391972720623e-02	-3.139530075713992e-03
4198	1.682730019092560e-02	-2.734657144173980e-03
4210	1.684643700718880e-02	-3.405377035960555e-03
4222	1.686806790530682e-02	-2.755556488409638e-03
4234	1.688618957996368e-02	-4.292007535696030e-03
4246	1.690295152366161e-02	-3.222588216885924e-03
4258	1.691955327987671e-02	-4.763395525515079e-03
4275	1.693733036518097e-02	-3.033610759302974e-03
4283	1.695394329726696e-02	-3.389544785022736e-03
4295	1.697192154824734e-02	-3.928172402083874e-03
